Quarter,Time,Down,ToGo,Location,Team,Detail,Type,DET,SDG,EPB,EPA,Play EPA,Win%,21,35,85,10,81,16,25,87,15
4,10:24,1,10,SDG 45,DET,Joique Bell left end for 1 yard (tackle by Eric Weddle). Penalty on Donald Butler: Illegal Use of Hands 5 yards,Run,21,26,2.59,2.98,-0.39,66.9,,,,,,,,,
4,9:54,1,10,SDG 39,DET,Matthew Stafford pass incomplete short middle intended for Calvin Johnson (defended by Eric Weddle),Pass,21,26,2.98,2.44,0.54,70.6,NA,NA,Fade,Out,Dig,Fade,NA,NA,Fade
4,9:49,2,10,SDG 39,DET,Ameer Abdullah left end for -2 yards. Ameer Abdullah fumbles recovered by Ameer Abdullah at SDG-41,Run,21,26,2.44,1.49,0.95,76.3,,,,,,,,,
4,9:01,3,12,SDG 41,DET,Matthew Stafford pass incomplete short right intended for Golden Tate,Pass,21,26,1.49,0.53,0.96,82.3,NA,Out,NA,Out,NA,Curl,NA,NA,Curl
4,9:00,4,12,SDG 41,DET,Sam Martin punts 27 yards out of bounds,Punt,21,26,0.53,0.28,0.25,83.5,,,,,,,,,
4,8:51,1,10,SDG 14,SD,Philip Rivers pass complete short left to Keenan Allen for 7 yards (tackle by Rashean Mathis),Pass,21,26,-0.28,0.28,-0.56,86.2,,,,,,,,,
4,8:16,2,3,SDG 21,SD,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Glover Quin),Pass,21,26,0.28,1.07,-0.79,89.9,,,,,,,,,
4,7:46,1,10,SDG 32,SD,Melvin Gordon middle for 1 yard (tackle by Josh Bynes),Run,21,26,1.07,0.66,0.41,89.1,,,,,,,,,
4,7:03,2,9,SDG 33,SD,Philip Rivers pass complete short right to Steve Johnson for 34 yards (tackle by Darius Slay),Pass,21,26,0.66,3.38,-2.72,96.9,,,,,,,,,
4,6:15,1,10,DET 33,SD,Melvin Gordon right guard for no gain (tackle by Darryl Tapp). Penalty on Chris Watt: Offensive Holding 10 yards (no play),Run,21,26,3.38,2.72,0.66,96.6,,,,,,,,,
4,5:45,1,20,DET 43,SD,Philip Rivers pass complete short middle to Keenan Allen for 2 yards (tackle by James Ihedigbo),Pass,21,26,2.72,1.76,0.96,95.2,,,,,,,,,
4,5:04,2,18,DET 41,SD,Melvin Gordon middle for -1 yards (tackle by Darryl Tapp and Tyrunn Walker),Run,21,26,1.76,0.96,0.8,85.1,,,,,,,,,
4,4:18,3,19,DET 42,SD,Philip Rivers pass complete short middle to Keenan Allen for 20 yards (tackle by Glover Quin),Pass,21,26,0.96,4.11,-3.15,95.7,,,,,,,,,
4,3:29,3,19,DET 42,SD,Timeout #1 by San Diego Chargers,Run,21,26,0,0,0,,,,,,,,,,
4,3:29,1,10,DET 22,SD,Danny Woodhead middle for 2 yards (tackle by Stephen Tulloch),Run,21,26,4.11,3.83,0.28,94.8,,,,,,,,,
4,3:24,1,10,DET 22,SD,Timeout #1 by Detroit Lions,Run,21,26,0,0,0,,,,,,,,,,
4,3:24,2,8,DET 20,SD,Philip Rivers pass complete short right to Keenan Allen for 5 yards (tackle by Quandre Diggs),Pass,21,26,3.83,3.93,-0.1,94.5,,,,,,,,,
4,2:48,3,3,DET 15,SD,Philip Rivers pass complete short left to Steve Johnson for 14 yards (tackle by Quandre Diggs),Pass,21,26,3.93,6.97,-3.04,98.7,,,,,,,,,
4,2:37,3,3,DET 15,SD,Timeout #2 by Detroit Lions,Run,21,26,0,0,0,,,,,,,,,,
4,2:37,1,1,DET 1,SD,Danny Woodhead middle for 1 yard touchdown,Run,21,32,6.97,7,-0.03,99.9,,,,,,,,,
4,2:37,,,DET 1,SD,Josh Lambo kicks extra point good,Kick,21,33,0,0,0,99.9,,,,,,,,,
4,2:37,,,SDG 35,SD,Josh Lambo kicks off 71 yards returned by Ameer Abdullah for 23 yards (tackle by Jimmy Wilson),Kick,21,33,0,0.06,-0.06,99.9,,,,,,,,,
4,2:27,1,10,DET 17,DET,Matthew Stafford pass complete short right to Eric Ebron for 14 yards (tackle by Eric Weddle),Pass,21,33,-0.06,1,-1.06,99.9,NA,NA,Curl,NA,Comeback,Comeback,NA,NA,Dig
4,2:07,1,10,DET 31,DET,Matthew Stafford pass complete short right to Eric Ebron for 7 yards (tackle by Jimmy Wilson),Pass,21,33,1,1.41,-0.41,99.9,NA,NA,Out,NA,Dig,Post,Curl,NA,Curl
4,2:00,2,3,DET 38,DET,Matthew Stafford pass complete short left to Calvin Johnson for 11 yards (tackle by Patrick Robinson and Melvin Ingram),Pass,21,33,1.41,2.19,-0.78,99.9,NA,NA,Fade,NA,Dig,Fade,Wheel,NA,Dig
